supplier_id,name,industry,country,city,address,postal_code,political_risk,trade_risk,natural_disaster_risk,revenue_growth_yoy,net_profit_margin,credit_rating,on_time_delivery_rate,quality_score,response_time_hours,years_in_business,employee_count,certification,email,phone,total_orders,actual_on_time_rate,total_business_value,completed_orders,products
SUP1017,International Technologies,Automotive,India,Dhanbad,981 MG Road,317353,3.8,2.7,3.1,34.79,8.33,AA+,94.99,3.45,12.1,5,1585,ISO 14001,info@internationaltechnologies.in,+91-22-13204989,374,87.11,10930616.98,296,"bearings, transmissions"
SUP1018,Strategic Industries,Automotive,India,Jaipur,528 Sector 98,487866,3.0,1.8,3.5,-0.22,14.73,AA+,97.06,4.32,29.9,16,718,,info@strategicindustries.in,+91-40-90649463,34,88.39,18712634.91,24,"clutches, bearings, transmissions"
SUP1019,Pinnacle Group,Textiles,India,Mumbai,483 MG Road,661694,2.9,1.6,4.1,1.76,13.43,BB,74.41,4.3,30.5,36,3484,ISO 14001,info@pinnaclegroup.in,+91-33-28057584,343,71.86,21129401.62,266,"finished garments, polyester yarn"
SUP1020,Modern Company,Pharma,India,Navi Mumbai,856 Industrial Area,238834,3.9,1.9,5.5,0.23,7.75,A,84.49,3.01,14.1,16,1903,ISO 9001,info@moderncompany.in,+91-40-50838379,421,84.72,19612218.72,320,"injections, syrups"
SUP1021,Frontier Corporation,Machinery,India,Nagpur,828 Business District,183229,2.9,2.9,5.5,29.23,8.11,BB,88.01,4.06,8.1,29,3562,ISO 9001,info@frontiercorporation.in,+91-20-83930264,137,65.85,31317785.91,114,"generators, turbines, transformers"
SUP1022,Universal International,Chemicals,India,Ludhiana,241 Sector 37,330218,2.1,1.5,3.8,33.64,8.48,BB+,96.96,4.23,14.2,10,2352,ISO 14001,info@universalinternational.in,+91-80-64087177,80,97.21,9942039.8,68,"adhesives, industrial chemicals, polymers"
SUP1023,Prime Corporation,Pharma,India,Mumbai,74 Main Street,160995,4.0,4.2,3.0,23.29,16.61,AAA,79.91,4.77,18.5,16,2618,ISO 9001,info@primecorporation.in,+91-20-58579092,475,88.54,4030734.23,461,"tablets, pharmaceutical APIs"
SUP1024,Summit Company,Pharma,India,Delhi,134 Industrial Area,879069,2.3,3.1,2.7,9.74,8.97,BBB+,79.86,4.57,37.2,2,2911,,info@summitcompany.in,+91-22-94955249,290,69.88,30374904.96,229,"ointments, syrups, injections"
SUP1025,Pioneer Company,Electronics,India,Pimpri-Chinchwad,865 Main Street,374252,2.9,2.2,2.6,28.3,8.65,A+,73.67,4.55,33.0,17,3878,ISO 9001,info@pioneercompany.in,+91-22-87968593,366,90.94,44076485.53,331,"monitors, laptops"
SUP1026,Modern International,Chemicals,India,Chennai,595 Business District,934275,4.9,3.5,3.9,4.5,15.85,BB+,97.61,4.44,45.0,31,3410,ISO 9001,info@moderninternational.in,+91-80-38467806,395,65.23,41852061.3,342,"catalysts, reagents, specialty chemicals"
SUP1027,Zenith Associates,Automotive,India,Patna,595 Sector 1,616020,4.9,2.7,2.1,6.25,14.09,A+,95.33,4.37,16.0,37,194,ISO 14001,info@zenithassociates.in,+91-79-75541867,342,79.79,7547538.94,250,"clutches, bearings, transmissions"
SUP1028,Dynamic Exports,Machinery,India,Kanpur,218 Zone 11,253401,4.9,2.1,5.2,21.6,9.33,BBB-,92.52,4.43,24.0,7,4166,ISO 14001,info@dynamicexports.in,+91-22-63745931,100,83.22,29044154.6,100,"assembly line equipment, packaging machines, presses"
SUP1029,Zenith Supplies,Pharma,India,Howrah,664 Main Street,744800,3.6,3.8,5.5,5.96,16.08,AA-,80.87,3.03,46.5,36,2351,ISO 14001,info@zenithsupplies.in,+91-33-80444462,227,66.66,46422816.48,215,"ointments, injections"
SUP1030,Dynamic Technologies,Food & Beverage,India,Kalyan-Dombivali,681 Zone 31,378093,4.1,2.7,2.5,28.66,3.83,BB,92.66,4.96,21.8,10,2573,ISO 9001,info@dynamictechnologies.in,+91-11-70416462,380,69.11,16718649.16,368,"canned goods, confectionery"
SUP1031,Pinnacle Exports,Food & Beverage,India,Navi Mumbai,909 Industrial Area,662174,2.7,2.0,6.5,13.58,12.21,BB+,86.16,3.11,38.7,22,4096,ISO 9001,info@pinnacleexports.in,+91-80-75152355,141,84.17,36720053.34,140,"cooking oils, sauces"
SUP1032,Zenith Corporation,Machinery,India,Vadodara,369 Industrial Area,321896,2.6,2.1,2.8,21.69,15.52,BBB+,72.13,4.45,18.2,41,4032,ISO 9001,info@zenithcorporation.in,+91-20-24802297,300,83.37,32465160.74,250,"lathes, welding machines"
SUP1033,Innovative Corporation,Construction,India,Thane,943 Business District,689025,4.7,2.8,3.1,-0.26,7.74,AAA,91.42,3.96,41.2,5,3051,ISO 14001,info@innovativecorporation.in,+91-80-44141555,331,66.47,43915858.61,317,"doors, plumbing fixtures, electrical fittings"
SUP1034,Premier Technologies,Automotive,India,Chennai,957 Sector 79,519593,3.0,2.0,2.6,8.35,4.94,A-,93.27,4.41,9.1,37,1408,ISO 14001,info@premiertechnologies.in,+91-80-92827623,485,94.8,40355371.83,369,"wheels, body panels, tires"
SUP1035,Precision Limited,Chemicals,India,Ghaziabad,895 MG Road,529881,4.4,3.3,6.3,26.72,4.99,A-,70.41,3.2,45.5,33,328,ISO 14001,info@precisionlimited.in,+91-33-37522172,161,77.18,13691601.29,155,"paints, solvents, coatings"
SUP1036,United Associates,Textiles,India,Hyderabad,574 Zone 41,180562,1.9,1.9,6.8,26.5,8.99,AA-,80.72,3.9,28.7,27,4453,ISO 9001,info@unitedassociates.in,+91-22-69314416,111,91.91,6399137.5,83,"upholstery fabrics, bed linens"
SUP1037,Elite Limited,Food & Beverage,India,Delhi,680 MG Road,985351,5.0,4.3,5.6,3.73,10.15,AA-,75.1,3.02,30.9,12,3816,ISO 9001,info@elitelimited.in,+91-44-78627983,82,94.65,37358205.19,66,"spices, beverages"
SUP1038,Universal Exports,Textiles,India,Ghaziabad,851 Main Street,830054,2.5,1.1,3.0,18.78,9.55,AA,79.52,4.06,35.7,18,1455,ISO 9001,info@universalexports.in,+91-11-95499613,200,77.55,27306764.68,151,"technical textiles, apparel fabrics"
SUP1039,Precision Limited,Textiles,India,Ahmedabad,584 Zone 23,679381,2.2,4.0,5.5,27.43,13.21,AAA,70.9,3.79,25.9,12,963,ISO 9001,info@precisionlimited.in,+91-20-65511831,23,97.0,5214463.42,23,"fashion wear, apparel fabrics, technical textiles"
SUP1040,Continental Corporation,Textiles,India,Bangalore,976 Sector 54,839040,5.3,2.5,6.7,29.87,6.45,BB,90.71,3.5,27.8,10,346,ISO 14001,info@continentalcorporation.in,+91-80-32170478,477,89.68,14243602.3,411,"denim, silk fabrics"
SUP1041,Alpha Pvt Ltd,Textiles,India,Varanasi,899 Sector 29,640635,2.7,2.2,3.9,28.06,16.01,AA+,72.71,4.01,26.7,22,3980,ISO 14001,info@alphapvtltd.in,+91-40-62207637,387,97.01,23215979.31,332,"knitted goods, industrial fabrics"
SUP1042,Pinnacle Group,Machinery,India,Patna,930 Industrial Area,799178,3.6,1.4,2.3,21.22,16.2,BB+,74.89,3.23,23.4,27,1050,ISO 14001,info@pinnaclegroup.in,+91-80-89368764,165,84.82,15273284.82,147,"CNC machines, compressors"
SUP1043,Stellar Company,Electronics,India,Rajkot,3 Main Street,469238,5.3,2.7,3.6,23.52,6.0,BBB+,94.12,3.12,14.9,41,1145,ISO 14001,info@stellarcompany.in,+91-80-67425640,398,78.41,32757556.82,348,"sensors, cameras"
SUP1044,Supreme Exports,Construction,India,Ludhiana,58 Main Street,572573,1.7,2.1,6.6,8.03,13.18,A,85.28,3.35,33.0,19,4939,ISO 14001,info@supremeexports.in,+91-79-45689709,487,93.71,35872354.68,445,"insulation materials, windows, paint"
SUP1045,Modern Corporation,Chemicals,India,Nagpur,403 Industrial Area,323803,4.2,1.1,4.3,13.73,15.54,BB+,93.47,3.42,36.2,24,4404,ISO 14001,info@moderncorporation.in,+91-22-48784017,346,86.3,5708836.96,250,"dyes, resins"
SUP1046,Excellence Traders,Automotive,India,Nashik,584 MG Road,360638,5.4,2.2,6.4,24.45,4.66,BBB+,77.15,4.66,30.5,33,3881,ISO 14001,info@excellencetraders.in,+91-11-82952525,461,66.06,28408708.42,379,"bearings, transmissions"
SUP1047,Advanced Exports,Electronics,India,Coimbatore,877 Main Street,585621,5.1,4.1,3.3,12.13,9.22,AA-,70.6,3.51,1.9,33,1127,ISO 14001,info@advancedexports.in,+91-44-54626393,382,82.6,26662514.21,335,"semiconductors, cameras, sensors"
SUP1048,Excellence Exports,Chemicals,India,Varanasi,311 Industrial Area,542465,2.5,1.8,5.8,24.53,16.68,BB,70.47,4.29,41.5,43,2095,ISO 14001,info@excellenceexports.in,+91-80-26933653,188,68.61,8945563.43,172,"fertilizers, pesticides, herbicides"
SUP1049,Frontier Exports,Textiles,India,Coimbatore,132 Business District,388709,5.2,2.2,2.2,16.45,17.07,BBB,79.78,4.14,24.1,4,1412,ISO 9001,info@frontierexports.in,+91-33-75693363,363,72.53,29091051.82,363,"industrial fabrics, home textiles, knitted goods"
SUP1050,Titan Industries,Textiles,India,Aurangabad,655 Sector 92,517044,4.8,4.3,4.3,29.57,4.45,AAA,98.52,3.44,10.8,25,320,,info@titanindustries.in,+91-11-16671776,102,78.48,41614498.9,95,"technical textiles, fashion wear, apparel fabrics"
SUP1051,International Enterprises,Textiles,India,Pune,941 Business District,535182,3.5,1.8,5.9,24.76,17.71,BBB-,82.68,3.68,39.4,19,3680,ISO 14001,info@internationalenterprises.in,+91-79-45497155,64,66.96,16420303.48,62,"denim, silk fabrics"
SUP1052,National Solutions,Chemicals,India,Kanpur,726 Business District,112656,2.4,1.4,3.3,16.6,3.78,AA+,96.58,4.67,18.1,4,3725,ISO 14001,info@nationalsolutions.in,+91-40-21453112,152,65.98,42042224.86,141,"fertilizers, herbicides"
SUP1053,Advanced Solutions,Textiles,India,Allahabad,599 Industrial Area,191085,2.7,3.2,3.3,19.21,15.58,BBB+,82.36,4.27,18.3,9,2399,ISO 9001,info@advancedsolutions.in,+91-80-76795350,152,84.11,18055448.24,148,"bed linens, upholstery fabrics"
SUP1054,Beta Works,Chemicals,India,Aurangabad,788 Sector 44,172853,3.8,2.0,4.2,30.31,6.05,AA+,84.6,4.31,12.5,39,3462,ISO 9001,info@betaworks.in,+91-33-55413872,268,81.17,1863482.83,248,"pesticides, fertilizers, herbicides"
SUP1055,Paramount Products,Machinery,India,Thane,804 Main Street,970178,3.9,1.8,3.5,28.03,17.48,A,89.03,4.28,10.6,8,3065,ISO 14001,info@paramountproducts.in,+91-11-50097311,148,73.42,38809265.62,109,"assembly line equipment, packaging machines, presses"
SUP1056,Sigma Industries,Automotive,India,Faridabad,549 Main Street,562437,5.4,1.6,5.3,22.28,9.79,A+,82.98,4.76,1.7,29,4515,ISO 9001,info@sigmaindustries.in,+91-11-51760708,420,96.57,13054746.49,342,"wheels, body panels, tires"
SUP1057,Summit Technologies,Automotive,India,Allahabad,257 Main Street,907334,1.8,4.2,5.6,-2.34,5.8,A,78.39,3.38,8.1,40,3982,ISO 9001,info@summittechnologies.in,+91-22-74239243,198,89.94,40602662.03,197,"batteries, wiring harnesses, lighting systems"
SUP1058,Summit Manufacturing,Construction,India,Agra,626 Zone 5,551488,4.1,1.5,5.6,26.9,5.96,BBB-,86.25,4.29,27.1,26,1325,ISO 14001,info@summitmanufacturing.in,+91-22-22102252,94,96.19,5638725.94,88,"cement, steel bars"
SUP1059,Titan Associates,Machinery,India,Ghaziabad,110 MG Road,585811,1.9,4.2,6.6,15.27,9.47,BBB,77.94,3.74,22.8,43,946,ISO 9001,info@titanassociates.in,+91-40-58486385,160,89.07,44518531.26,122,"lathes, welding machines"
SUP1060,Frontier International,Food & Beverage,India,Delhi,338 Zone 17,547481,4.0,3.4,2.6,8.02,13.54,AA-,94.58,3.83,4.6,23,3310,ISO 14001,info@frontierinternational.in,+91-33-82041008,297,73.03,34783022.01,252,"frozen foods, bakery items, dairy products"
SUP1061,Excellence International,Electronics,India,Bangalore,45 Business District,407334,2.7,3.6,4.8,27.42,3.62,AA,77.89,4.62,6.2,28,2177,ISO 9001,info@excellenceinternational.in,+91-80-88063656,473,86.3,45102022.72,470,"circuit boards, monitors, laptops"
SUP1062,Modern Works,Chemicals,India,Amritsar,468 MG Road,417823,3.2,1.7,3.7,-1.06,9.66,A,79.12,3.78,9.8,18,88,ISO 9001,info@modernworks.in,+91-20-74955838,25,67.28,4868712.61,25,"adhesives, industrial chemicals, polymers"
SUP1063,United Traders,Food & Beverage,India,Jabalpur,219 Main Street,820117,4.0,2.1,4.4,15.19,17.52,AA+,92.93,3.93,5.7,33,2721,ISO 14001,info@unitedtraders.in,+91-11-78495922,466,91.16,19090953.17,364,"canned goods, processed foods"
SUP1064,Stellar Manufacturing,Construction,India,Hyderabad,191 Main Street,815623,4.4,3.3,6.7,30.25,17.33,BB+,96.58,4.65,6.5,22,1880,ISO 14001,info@stellarmanufacturing.in,+91-40-47858252,50,88.6,11484877.4,40,"concrete mixers, steel bars, cement"
SUP1065,Delta Associates,Machinery,India,Howrah,394 MG Road,229445,1.7,1.3,5.2,23.98,6.19,BB,82.59,3.53,6.4,42,2720,ISO 9001,info@deltaassociates.in,+91-33-10404960,107,80.35,1583607.2,83,"conveyor systems, industrial robots, motors"
SUP1066,Elite Systems,Automotive,India,Patna,300 Main Street,244949,1.9,1.1,6.9,17.98,15.32,A+,97.46,4.0,42.1,25,3074,,info@elitesystems.in,+91-22-98037372,372,85.93,24029016.32,301,"bearings, transmissions"
SUP1067,Heritage Company,Electronics,India,Delhi,212 Industrial Area,968044,3.7,1.7,6.2,4.08,7.77,BBB+,84.25,3.37,7.0,33,3680,ISO 14001,info@heritagecompany.in,+91-20-69492655,387,69.22,9886730.29,306,"motherboards, memory chips, LED displays"
SUP1068,Titan Systems,Textiles,India,Kanpur,476 Sector 86,617546,1.9,3.6,6.9,7.72,13.28,A+,90.42,4.61,29.4,9,3913,ISO 14001,info@titansystems.in,+91-79-72664728,95,68.46,40642735.95,92,"technical textiles, fashion wear"
SUP1069,Premier Enterprises,Automotive,India,Hyderabad,874 MG Road,184040,2.6,1.4,2.5,7.96,17.12,BB,92.74,3.31,27.8,16,3715,ISO 14001,info@premierenterprises.in,+91-44-49664410,139,84.06,40953067.49,121,"exhaust systems, steering systems, filters"
SUP1070,Vanguard Group,Electronics,India,Pune,377 Industrial Area,896901,3.2,3.5,4.0,-1.34,15.28,AA,77.24,3.59,12.8,23,507,ISO 14001,info@vanguardgroup.in,+91-79-22758964,489,87.15,10415126.59,414,"sensors, semiconductors, cameras"
SUP1071,United Associates,Chemicals,India,Delhi,295 Business District,825605,3.7,3.7,2.4,0.47,2.95,AA,97.27,3.07,21.9,34,663,ISO 9001,info@unitedassociates.in,+91-40-98244081,364,84.2,40996630.42,335,"paints, solvents"
SUP1072,Dynamic Company,Electronics,India,Bhopal,221 Industrial Area,132440,5.0,3.0,5.4,20.14,9.13,BB+,89.69,3.57,24.2,3,3176,,info@dynamiccompany.in,+91-80-66928291,140,93.66,15329547.0,120,"circuit boards, monitors, laptops"
SUP1073,Zenith Traders,Automotive,India,Dhanbad,799 Business District,857589,4.5,3.8,4.4,6.39,15.9,AA+,84.75,4.31,4.8,37,2052,ISO 14001,info@zenithtraders.in,+91-40-48635591,237,87.56,13034646.44,219,"suspension parts, brake systems, engine components"
SUP1074,Metro Exports,Chemicals,India,Ludhiana,492 MG Road,216227,4.9,2.3,2.0,18.02,10.51,A-,84.29,3.26,10.7,42,4911,ISO 14001,info@metroexports.in,+91-20-72187744,174,80.11,30433298.13,143,"catalysts, specialty chemicals, reagents"
SUP1075,Horizon International,Machinery,India,Agra,550 Zone 2,569339,4.7,3.9,4.4,20.2,12.58,BBB,77.84,4.19,15.3,8,2870,ISO 9001,info@horizoninternational.in,+91-40-63370805,41,79.46,31849786.09,28,"conveyor systems, industrial robots, motors"
SUP1076,Beta Company,Pharma,India,Bhopal,326 Business District,255626,1.7,2.5,5.2,7.35,12.72,BB,82.95,3.8,24.1,38,4037,ISO 9001,info@betacompany.in,+91-20-94149076,219,96.61,32856014.54,213,"vitamins, pain relievers, antibiotics"
SUP1077,Precision Industries,Textiles,India,Srinagar,93 Main Street,463125,3.9,4.2,3.8,8.3,2.76,AA+,76.94,3.19,40.6,4,3021,ISO 14001,info@precisionindustries.in,+91-33-53375921,129,92.46,5063291.54,121,"silk fabrics, denim"
SUP1078,International Enterprises,Textiles,India,Pune,353 Industrial Area,513493,4.4,2.0,2.8,27.36,8.14,AA-,78.63,3.69,15.2,42,875,ISO 14001,info@internationalenterprises.in,+91-44-25969174,40,84.04,10379838.52,37,"silk fabrics, denim, synthetic fibers"
SUP1079,Stellar Enterprises,Electronics,India,Amritsar,644 Main Street,577373,4.8,2.7,6.2,29.62,15.31,BB,92.91,3.97,14.8,16,4011,ISO 9001,info@stellarenterprises.in,+91-33-68352544,129,91.94,42612085.25,128,"power supplies, adapters, chargers"
SUP1080,Advanced Products,Textiles,India,Nashik,781 Sector 22,205031,4.8,3.5,4.4,6.21,15.73,A+,73.99,3.33,43.7,24,3625,ISO 9001,info@advancedproducts.in,+91-11-33247740,479,79.02,6885516.78,337,"upholstery fabrics, bed linens"
SUP1081,Frontier Industries,Automotive,India,Navi Mumbai,40 Business District,926741,1.7,2.0,4.7,22.95,14.25,BBB,78.14,3.73,44.5,30,4100,ISO 14001,info@frontierindustries.in,+91-80-99370673,192,96.15,28844032.54,141,"brake systems, suspension parts, engine components"
SUP1082,Synergy India,Electronics,India,Pune,830 Industrial Area,191482,3.9,2.2,4.5,23.69,17.71,AA,82.9,4.68,18.7,38,106,ISO 9001,info@synergyindia.in,+91-20-69086866,357,79.66,36817808.05,337,"laptops, circuit boards, monitors"
SUP1083,Paramount Corporation,Pharma,India,Jaipur,190 Main Street,297140,1.7,1.4,4.8,-1.01,12.48,AA,93.44,3.73,32.6,12,1637,ISO 9001,info@paramountcorporation.in,+91-20-34552444,197,67.52,25238205.74,137,"ointments, injections"
SUP1084,Nexus Pvt Ltd,Electronics,India,Dhanbad,456 Industrial Area,277264,2.6,3.1,5.5,21.69,3.44,A+,96.85,3.61,11.3,21,166,,info@nexuspvtltd.in,+91-11-76986441,216,81.68,605378.7,210,"memory chips, motherboards, LED displays"
SUP1085,Nexus Traders,Electronics,India,Hyderabad,950 MG Road,739186,5.1,1.9,3.1,14.94,13.6,AA,92.23,3.76,46.3,8,700,,info@nexustraders.in,+91-79-62797755,81,95.78,20425010.86,59,"LED displays, memory chips, motherboards"
SUP1086,Quantum Company,Automotive,India,Indore,344 Industrial Area,216737,5.3,3.6,2.0,2.22,15.88,AAA,81.8,4.68,45.2,14,2169,ISO 9001,info@quantumcompany.in,+91-80-78164167,202,76.82,23810988.94,175,"tires, wheels"
SUP1087,Modern Pvt Ltd,Food & Beverage,India,Bangalore,764 MG Road,777429,1.6,1.2,4.7,23.66,3.57,BB+,76.72,4.11,26.7,22,2218,ISO 9001,info@modernpvtltd.in,+91-11-17492848,190,80.88,44998884.66,162,"processed foods, confectionery"
SUP1088,Apex Industries,Pharma,India,Vasai-Virar,458 Business District,519209,4.6,1.1,2.9,25.63,7.56,AA,88.7,4.31,28.0,21,763,ISO 14001,info@apexindustries.in,+91-20-14841491,64,73.84,2905952.5,53,"nutraceuticals, herbal medicines, generic drugs"
SUP1089,Supreme Corporation,Electronics,India,Coimbatore,500 Industrial Area,690496,4.6,1.6,2.8,33.41,14.99,BBB,97.89,4.48,13.6,35,2783,,info@supremecorporation.in,+91-80-79639696,135,71.46,27905169.2,109,"LED displays, memory chips, motherboards"
SUP1090,Precision Industries,Pharma,India,Navi Mumbai,872 Industrial Area,428745,5.5,1.3,6.2,28.92,17.61,BBB-,71.07,4.49,8.3,34,4732,ISO 14001,info@precisionindustries.in,+91-80-90540595,274,82.77,4463927.83,211,"pain relievers, antibiotics, vitamins"
SUP1091,Horizon Traders,Automotive,India,Nashik,791 Sector 80,433078,1.7,2.7,2.2,-3.82,5.5,A-,70.22,3.43,27.7,21,4173,ISO 9001,info@horizontraders.in,+91-80-51720334,206,81.51,46625315.39,162,"suspension parts, engine components, brake systems"
SUP1092,Supreme India,Automotive,India,Bhopal,967 Industrial Area,710065,3.6,2.9,6.5,5.44,4.87,A-,90.26,3.89,5.6,5,1778,ISO 9001,info@supremeindia.in,+91-79-34114585,222,74.53,36426625.67,191,"brake systems, suspension parts"
SUP1093,Vertex Company,Machinery,India,Agra,804 Zone 3,598601,5.0,3.5,2.2,-1.35,4.01,A,97.86,4.21,13.8,12,995,ISO 9001,info@vertexcompany.in,+91-11-50372744,38,67.36,1314501.41,37,"compressors, CNC machines"
SUP1094,Elite Corporation,Food & Beverage,India,Pune,910 Sector 16,771706,1.6,3.8,6.8,13.12,6.64,AAA,94.62,4.03,10.1,28,3518,ISO 9001,info@elitecorporation.in,+91-80-42566248,439,90.24,29795505.6,314,"tea, instant foods, coffee"
SUP1095,Paramount Products,Automotive,India,Lucknow,923 Industrial Area,166795,3.5,3.9,4.4,32.17,6.96,A+,81.65,4.36,32.1,28,3361,ISO 9001,info@paramountproducts.in,+91-80-17540723,307,65.15,23557973.5,282,"wheels, tires"
SUP1096,Continental Solutions,Textiles,India,Indore,822 Sector 87,516372,2.9,3.7,3.3,0.64,16.14,BBB+,95.48,3.15,3.9,31,2699,ISO 9001,info@continentalsolutions.in,+91-20-54382383,23,77.17,44266484.64,20,"upholstery fabrics, towels, bed linens"
SUP1097,Innovative Works,Textiles,India,Agra,569 Zone 41,111577,2.7,3.3,4.3,28.82,16.92,AA+,73.09,4.5,17.6,28,2642,ISO 9001,info@innovativeworks.in,+91-79-87071464,445,86.09,20828602.91,317,"technical textiles, fashion wear, apparel fabrics"
SUP1098,Heritage Systems,Textiles,India,Bhopal,449 Business District,321019,4.2,1.6,3.6,21.72,17.35,BB+,77.07,4.4,13.5,40,4362,ISO 9001,info@heritagesystems.in,+91-80-15837532,331,84.81,18626040.18,270,"finished garments, polyester yarn, cotton fabrics"
SUP1099,Continental Products,Automotive,India,Varanasi,608 Sector 80,100784,2.1,2.3,2.5,16.85,15.47,A+,94.59,4.49,28.5,39,1937,ISO 9001,info@continentalproducts.in,+91-33-31398971,106,95.59,13536524.97,102,"lighting systems, wiring harnesses, batteries"
SUP1100,Elite Solutions,Machinery,India,Kalyan-Dombivali,21 Main Street,933844,2.3,1.6,5.4,0.6,17.85,BBB-,70.32,3.5,7.2,29,254,ISO 14001,info@elitesolutions.in,+91-40-38444483,218,94.21,33344050.89,177,"compressors, CNC machines, hydraulic pumps"
SUP1101,National Pvt Ltd,Machinery,India,Aurangabad,779 Industrial Area,783149,1.7,3.9,5.1,3.44,14.79,BBB,79.59,3.76,27.2,16,3516,ISO 9001,info@nationalpvtltd.in,+91-40-55893398,229,91.73,20658910.02,164,"presses, packaging machines"
