po_number,supplier_id,supplier_name,order_date,expected_delivery_date,actual_delivery_date,status,item_description,quantity,unit_price,subtotal,tax_rate,tax_amount,total_amount,currency,on_time_delivery,payment_terms,shipping_method,created_by,quality_rating,political_risk_rating,trade_risk_rating,natural_disaster_risk_rating,delivery_rating,response_time_rating,overall_rating,rating_comments
PO10011,SUP1451,National Company,2025-06-01,2025-06-13,,Cancelled,Supply of construction machinery,224.0,4692.06,1051021.44,0.18,189183.86,1240205.3,INR,,Net 60,Air Freight,Meera Iyer,4.44,3.4,1.0,6.2,4.17,3.51,4.04,Dependable and quality-focused
PO10012,SUP1122,Innovative Associates,2025-01-12,2025-01-29,,Pending,Purchase of bricks,195.0,25670.43,5005733.85,0.18,901032.09,5906765.94,INR,,Net 15,Rail,Vikram Singh,2.77,1.9,1.3,5.2,4.44,4.09,3.77,Product quality inconsistent
PO10013,SUP1381,Alpha Company,2025-06-26,2025-07-14,2025-07-12,Delivered,Bulk order of cameras,32.0,7022.36,224715.52,0.18,40448.79,265164.31,INR,Yes,Net 60,Air Freight,Meera Iyer,3.17,2.5,1.4,6.2,4.61,4.73,4.17,Consistently meets expectations
PO10014,SUP1167,Pinnacle Technologies,2025-01-06,2025-01-17,2025-01-27,Completed,Order for scaffolding,488.0,7845.0,3828360.0,0.18,689104.8,4517464.8,INR,No,Net 45,Sea Freight,Anita Desai,3.91,4.5,3.1,7.1,3.2,4.14,3.75,Quality issues noted on inspection
PO10015,SUP1213,Quantum Pvt Ltd,2025-08-30,2025-09-08,,Cancelled,Order for towels,312.0,47834.38,14924326.56,0.18,2686378.78,17610705.34,INR,,Net 60,Sea Freight,Sanjay Gupta,3.98,3.1,2.9,4.6,3.09,4.71,3.93,Quality issues noted on inspection
PO10016,SUP1167,Pinnacle Technologies,2024-11-27,2024-12-06,,Cancelled,Bulk order of tools,316.0,2170.12,685757.92,0.18,123436.43,809194.35,INR,,Net 45,Sea Freight,Priya Sharma,3.46,4.9,3.5,6.4,4.2,4.13,3.93,Quality issues noted on inspection
PO10017,SUP1087,Modern Pvt Ltd,2024-12-24,2025-01-09,,Pending,Bulk order of processed foods,244.0,9126.17,2226785.48,0.18,400821.39,2627606.87,INR,,Due on Receipt,Sea Freight,Rohan Das,4.29,1.6,1.5,5.0,3.8,3.87,3.99,Quality control issues
PO10018,SUP1103,Alpha Technologies,2025-05-10,2025-05-16,,Cancelled,injections for production,431.0,20936.95,9023825.45,0.18,1624288.58,10648114.03,INR,,Net 15,Sea Freight,Deepika Nair,3.14,3.1,1.6,6.0,4.23,4.01,3.79,Needs improvement in delivery time
PO10019,SUP1192,National Pvt Ltd,2025-03-18,2025-03-23,2025-03-23,Delivered,Bulk order of tablets,276.0,4326.74,1194180.24,0.18,214952.44,1409132.68,INR,Yes,Net 60,Air Freight,Sanjay Gupta,3.75,2.8,3.2,4.7,4.94,3.73,4.14,Good communication and service
PO10020,SUP1388,Global Solutions,2025-06-11,2025-06-23,2025-06-25,Completed,canned goods - industrial grade,135.0,21252.81,2869129.35,0.18,516443.28,3385572.63,INR,No,Net 15,Rail,Pooja Kapoor,3.02,3.5,1.4,4.1,2.35,3.72,3.03,Late delivery impacted schedule
PO10021,SUP1395,Metro Works,2025-01-21,2025-02-03,,Cancelled,syrups for production,278.0,47062.09,13083261.02,0.18,2354986.98,15438248.0,INR,,Net 90,Air Freight,Rahul Verma,3.79,4.8,3.3,5.3,3.23,4.17,3.73,Below expected quality standards
PO10022,SUP1483,National Products,2025-08-25,2025-09-01,,Pending,Standard order: bed linens,192.0,34556.37,6634823.04,0.18,1194268.15,7829091.19,INR,,Net 90,Road Transport,Arjun Mehta,3.98,4.4,3.8,3.5,3.36,3.95,3.76,Needs improvement in delivery time
PO10023,SUP1286,Excellence Supplies,2025-02-13,2025-03-03,2025-03-07,Delivered,Standard order: roofing materials,359.0,18653.61,6696645.99,0.18,1205396.28,7902042.27,INR,No,Net 45,Express Courier,Deepika Nair,3.85,4.4,1.4,4.3,3.38,5.0,4.08,"High quality products, reliable supplier"
PO10024,SUP1425,Premier International,2025-09-30,2025-10-19,,Cancelled,Procurement of home textiles,47.0,19975.13,938831.11,0.18,168989.6,1107820.71,INR,,Net 45,Air Freight,Deepika Nair,3.48,3.8,2.0,4.8,3.2,4.13,3.6,Some quality concerns
PO10025,SUP1243,Supreme Company,2025-03-11,2025-03-23,2025-03-31,Completed,Bulk order of doors,221.0,1713.66,378718.86,0.18,68169.39,446888.25,INR,No,Net 90,Express Courier,Sneha Reddy,3.26,1.9,2.1,4.1,3.12,3.53,3.3,Below expected quality standards
PO10026,SUP1179,Synergy Enterprises,2025-08-03,2025-08-23,,Cancelled,Purchase of fashion wear,41.0,38489.56,1578071.96,0.18,284052.95,1862124.91,INR,,Net 60,Air Freight,Meera Iyer,4.29,5.2,2.1,5.8,3.07,2.62,3.33,Needs improvement in delivery time
PO10027,SUP1485,Global Limited,2025-08-10,2025-08-27,2025-09-02,Completed,Supply of exhaust systems,445.0,7659.89,3408651.05,0.18,613557.19,4022208.24,INR,No,Net 30,Road Transport,Nikhil Shah,3.19,5.5,3.8,2.7,3.02,4.84,3.68,Below expected quality standards
PO10028,SUP1086,Quantum Company,2025-03-21,2025-04-02,2025-04-03,Completed,wheels - industrial grade,474.0,12063.72,5718203.28,0.18,1029276.59,6747479.87,INR,No,Net 60,Air Freight,Rajesh Kumar,4.28,5.2,3.1,1.5,2.64,3.46,3.46,Product quality inconsistent
PO10029,SUP1082,Synergy India,2025-03-12,2025-03-19,2025-03-22,Delivered,Supply of circuit boards,467.0,19342.87,9033120.29,0.18,1625961.65,10659081.94,INR,No,Net 90,Rail,Amit Patel,4.62,3.9,2.1,4.7,3.67,4.23,4.17,"Smooth transaction, good quality"
PO10030,SUP1149,Modern Products,2025-04-20,2025-04-29,2025-05-05,Completed,industrial chemicals - industrial grade,276.0,36955.36,10199679.36,0.18,1835942.28,12035621.64,INR,No,Net 30,Express Courier,Nikhil Shah,4.24,4.0,1.6,6.2,3.79,3.75,3.93,Product quality inconsistent
PO10031,SUP1285,Phoenix Systems,2024-12-18,2024-12-27,,Pending,Supply of dyes,275.0,7736.91,2127650.25,0.18,382977.04,2510627.29,INR,,Net 90,Road Transport,Sneha Reddy,4.2,5.2,4.1,2.6,3.98,3.31,3.83,Some quality concerns
PO10032,SUP1081,Frontier Industries,2025-11-21,2025-11-28,2025-11-25,Completed,Procurement of engine components,115.0,46324.07,5327268.05,0.18,958908.25,6286176.3,INR,Yes,Net 45,Rail,Rohan Das,3.41,1.8,1.8,5.1,4.87,3.08,3.79,Communication could be improved
PO10033,SUP1253,Delta Pvt Ltd,2025-02-20,2025-02-28,,Pending,Procurement of cement,73.0,23754.26,1734060.98,0.18,312130.98,2046191.96,INR,,Net 90,Rail,Kavita Joshi,4.53,2.7,3.2,4.4,3.73,4.85,4.37,"High quality products, reliable supplier"
PO10034,SUP1350,Quantum Associates,2025-05-07,2025-05-17,,Cancelled,transformers - industrial grade,359.0,35239.72,12651059.48,0.18,2277190.71,14928250.19,INR,,Net 45,Rail,Deepika Nair,4.88,5.6,1.1,4.9,4.39,3.37,4.21,"High quality products, reliable supplier"
PO10035,SUP1428,Pinnacle Works,2025-01-25,2025-02-02,,Pending,Order for power supplies,476.0,44877.94,21361899.44,0.18,3845141.9,25207041.34,INR,,Net 90,Sea Freight,Rohan Das,4.69,4.6,2.8,4.8,3.74,4.84,4.42,"Smooth transaction, good quality"
PO10036,SUP1416,Pioneer Pvt Ltd,2025-06-20,2025-06-25,,Pending,Standard order: nutraceuticals,468.0,11835.75,5539131.0,0.18,997043.58,6536174.58,INR,,Net 15,Sea Freight,Meera Iyer,2.99,1.5,4.0,5.1,3.21,3.41,3.2,Quality control issues
PO10037,SUP1422,Paramount Group,2025-02-05,2025-02-19,2025-02-23,Delivered,concrete mixers - industrial grade,411.0,10489.8,4311307.8,0.18,776035.4,5087343.2,INR,No,Net 15,Express Courier,Amit Patel,4.95,3.5,2.8,4.1,3.5,4.68,4.38,"Smooth transaction, good quality"
PO10038,SUP1279,Beta Solutions,2025-08-23,2025-09-01,,Cancelled,Bulk order of wheels,344.0,34943.36,12020515.84,0.18,2163692.85,14184208.69,INR,,Net 60,Sea Freight,Priya Sharma,3.68,4.1,3.3,4.9,3.4,4.19,3.76,Communication could be improved
PO10039,SUP1148,Titan Industries,2025-08-05,2025-08-23,,Pending,Standard order: bakery items,451.0,45460.01,20502464.51,0.18,3690443.61,24192908.12,INR,,Net 60,Road Transport,Sneha Reddy,4.3,4.7,1.6,4.1,3.2,3.7,3.73,Product quality inconsistent
PO10040,SUP1190,Pioneer Corporation,2025-09-07,2025-09-20,,Pending,Bulk order of compressors,160.0,49956.2,7992992.0,0.18,1438738.56,9431730.56,INR,,Net 30,Express Courier,Nikhil Shah,3.32,4.7,4.4,6.7,4.46,4.88,4.22,Good communication and service
PO10041,SUP1116,Synergy Products,2025-08-16,2025-08-26,2025-08-29,Completed,Procurement of drilling equipment,375.0,6526.53,2447448.75,0.18,440540.77,2887989.52,INR,No,Net 45,Road Transport,Anita Desai,4.05,2.4,2.4,6.2,3.39,4.02,3.82,Needs improvement in delivery time
PO10042,SUP1460,Atlas Solutions,2024-12-22,2025-01-10,2025-01-12,Delivered,polyester yarn - industrial grade,376.0,49248.53,18517447.28,0.18,3333140.51,21850587.79,INR,No,Net 15,Road Transport,Sneha Reddy,4.78,3.9,3.9,4.3,2.88,3.43,3.7,Some quality concerns
PO10043,SUP1298,Summit Manufacturing,2025-09-23,2025-10-07,2025-10-07,Completed,Purchase of motherboards,401.0,27788.51,11143192.51,0.18,2005774.65,13148967.16,INR,Yes,Net 30,Sea Freight,Sneha Reddy,4.05,4.5,1.7,6.2,4.24,4.28,4.19,Good communication and service
PO10044,SUP1228,Dynamic Associates,2025-01-12,2025-01-27,2025-01-28,Completed,towels - industrial grade,330.0,44255.38,14604275.4,0.18,2628769.57,17233044.97,INR,No,Net 30,Air Freight,Nikhil Shah,2.89,3.1,1.8,4.7,3.1,4.03,3.34,Quality issues noted on inspection
PO10045,SUP1424,Beta Group,2025-02-09,2025-02-23,2025-03-03,Delivered,Supply of catalysts,329.0,23858.66,7849499.14,0.18,1412909.85,9262408.99,INR,No,Net 90,Sea Freight,Nikhil Shah,4.62,1.4,3.7,5.7,3.54,4.84,4.33,Dependable and quality-focused
PO10046,SUP1378,Orion Traders,2025-05-31,2025-06-14,2025-06-19,Completed,beverages for production,362.0,21577.19,7810942.78,0.18,1405969.7,9216912.48,INR,No,Net 15,Sea Freight,Rahul Verma,3.97,4.3,4.2,6.6,2.89,5.0,3.95,Delivery delays affected production
PO10047,SUP1214,Modern Works,2025-03-07,2025-03-26,,Cancelled,Purchase of injections,265.0,8605.96,2280579.4,0.18,410504.29,2691083.69,INR,,Net 60,Air Freight,Anita Desai,4.12,2.1,4.6,5.1,3.21,3.5,3.61,Quality control issues
PO10048,SUP1182,Delta Corporation,2024-11-27,2024-12-11,2024-12-16,Completed,Standard order: catalysts,457.0,20933.2,9566472.4,0.18,1721965.03,11288437.43,INR,No,Net 90,Road Transport,Priya Sharma,4.21,4.8,2.9,3.5,3.73,4.61,4.18,"High quality products, reliable supplier"
PO10049,SUP1184,Orion Works,2025-09-17,2025-09-27,,Cancelled,Standard order: bearings,59.0,33253.6,1961962.4,0.18,353153.23,2315115.63,INR,,Net 90,Air Freight,Sanjay Gupta,2.98,2.1,2.4,6.2,4.22,3.81,3.67,Quality issues noted on inspection
PO10050,SUP1129,Universal Exports,2025-04-01,2025-04-13,,Pending,bricks for production,490.0,39270.07,19242334.3,0.18,3463620.17,22705954.47,INR,,Net 45,Sea Freight,Deepika Nair,4.34,3.8,1.2,3.0,3.96,3.73,4.01,Quality products delivered on time
PO10051,SUP1104,Advanced Products,2025-08-06,2025-08-17,2025-08-17,Delivered,Purchase of industrial fabrics,3.0,35937.61,107812.83,0.18,19406.31,127219.14,INR,Yes,Net 15,Air Freight,Arjun Mehta,3.86,3.5,2.1,6.1,4.03,3.33,3.74,Needs improvement in delivery time
PO10052,SUP1175,Stellar Supplies,2025-02-17,2025-03-02,,Pending,exhaust systems for production,388.0,17856.18,6928197.84,0.18,1247075.61,8175273.45,INR,,Net 60,Rail,Anita Desai,4.71,3.2,3.3,6.5,3.81,2.52,3.68,Late delivery impacted schedule
PO10053,SUP1022,Universal International,2025-02-13,2025-03-05,2025-03-03,Delivered,Purchase of industrial chemicals,196.0,33909.05,6646173.8,0.18,1196311.28,7842485.08,INR,Yes,Due on Receipt,Sea Freight,Rajesh Kumar,4.39,2.3,1.5,4.3,4.9,4.15,4.48,Good communication and service
PO10054,SUP1387,Global Limited,2025-08-01,2025-08-21,2025-08-27,Completed,Supply of dyes,381.0,17261.09,6576475.29,0.18,1183765.55,7760240.84,INR,No,Net 90,Express Courier,Rajesh Kumar,4.81,4.6,3.7,4.5,2.12,2.96,3.3,Late delivery impacted schedule
PO10055,SUP1303,Pioneer Enterprises,2025-11-14,2025-12-04,2025-12-07,Completed,Purchase of cooking oils,416.0,15323.16,6374434.56,0.18,1147398.22,7521832.78,INR,No,Due on Receipt,Rail,Deepika Nair,3.27,3.5,2.5,2.6,3.32,2.94,3.18,Delivery delays affected production
PO10056,SUP1154,Pinnacle International,2025-04-06,2025-04-20,,Pending,Procurement of sensors,47.0,40337.65,1895869.55,0.18,341256.52,2237126.07,INR,,Net 15,Express Courier,Sneha Reddy,3.39,5.0,2.1,6.6,4.2,3.53,3.71,Quality control issues
PO10057,SUP1116,Synergy Products,2025-06-07,2025-06-25,2025-06-22,Completed,welding machines for production,438.0,30190.62,13223491.56,0.18,2380228.48,15603720.04,INR,Yes,Net 45,Rail,Anita Desai,3.71,3.3,2.9,6.8,4.94,4.08,4.24,Excellent quality and timely delivery
PO10058,SUP1257,Zenith Exports,2025-04-22,2025-04-29,,Pending,Procurement of bearings,288.0,15904.16,4580398.08,0.18,824471.65,5404869.73,INR,,Net 15,Road Transport,Deepika Nair,4.81,4.1,1.8,6.1,3.1,4.15,4.02,Exceeds quality standards
PO10059,SUP1053,Advanced Solutions,2025-08-03,2025-08-10,,Cancelled,Bulk order of bed linens,465.0,45618.93,21212802.45,0.18,3818304.44,25031106.89,INR,,Net 60,Express Courier,Pooja Kapoor,4.12,2.9,3.3,3.1,3.52,4.66,4.1,Consistently meets expectations
PO10060,SUP1429,Prime Company,2025-08-13,2025-08-27,2025-08-28,Completed,Supply of solvents,86.0,21578.29,1855732.94,0.18,334031.93,2189764.87,INR,No,Net 30,Air Freight,Vikram Singh,3.74,5.3,3.5,6.4,3.28,4.85,3.96,Some quality concerns
PO10061,SUP1197,Titan Industries,2025-08-04,2025-08-23,,Cancelled,fertilizers for production,444.0,15275.75,6782433.0,0.18,1220837.94,8003270.94,INR,,Net 60,Express Courier,Sanjay Gupta,3.3,2.8,3.6,2.4,3.58,4.79,3.89,Below expected quality standards
PO10062,SUP1167,Pinnacle Technologies,2025-04-14,2025-04-27,,Pending,Standard order: construction machinery,355.0,11267.91,4000108.05,0.18,720019.45,4720127.5,INR,,Net 90,Sea Freight,Meera Iyer,3.17,4.8,3.2,6.8,4.23,4.06,3.82,Delivery delays affected production
PO10063,SUP1071,United Associates,2025-03-06,2025-03-15,2025-03-19,Delivered,Order for solvents,143.0,23378.77,3343164.11,0.18,601769.54,3944933.65,INR,No,Net 30,Sea Freight,Vikram Singh,2.9,4.0,3.4,2.1,3.74,4.19,3.61,Needs improvement in delivery time
PO10064,SUP1342,Horizon Traders,2025-05-05,2025-05-12,2025-05-13,Completed,Supply of dairy products,413.0,5966.54,2464181.02,0.18,443552.58,2907733.6,INR,No,Net 30,Air Freight,Rohan Das,3.99,4.7,1.4,5.7,2.15,4.04,3.39,Below expected quality standards
PO10065,SUP1116,Synergy Products,2025-08-07,2025-08-13,,Pending,Order for drilling equipment,28.0,19596.53,548702.84,0.18,98766.51,647469.35,INR,,Net 30,Sea Freight,Priya Sharma,3.12,2.4,2.8,6.8,4.05,4.08,3.75,Late delivery impacted schedule
PO10066,SUP1207,Stellar Manufacturing,2025-11-15,2025-12-01,2025-12-11,Delivered,Standard order: power supplies,18.0,10047.73,180859.14,0.18,32554.65,213413.79,INR,No,Net 60,Road Transport,Rajesh Kumar,3.4,4.1,1.6,3.8,3.63,4.61,3.88,Delivery delays affected production
PO10067,SUP1232,Nexus Industries,2025-04-16,2025-04-30,,Cancelled,denim - industrial grade,293.0,59.09,17313.37,0.18,3116.41,20429.78,INR,,Net 15,Road Transport,Deepika Nair,4.68,4.3,1.1,2.6,3.51,4.79,4.33,Professional and responsive
PO10068,SUP1465,Alpha Enterprises,2025-11-19,2025-12-08,,Cancelled,Supply of tablets,410.0,17224.15,7061901.5,0.18,1271142.27,8333043.77,INR,,Net 15,Express Courier,Pooja Kapoor,3.72,1.9,3.3,3.6,3.83,4.23,3.93,Delivery delays affected production
PO10069,SUP1195,Premier Traders,2025-03-15,2025-03-31,,Pending,Bulk order of steel bars,223.0,47747.65,10647725.95,0.18,1916590.67,12564316.62,INR,,Net 45,Express Courier,Rohan Das,4.46,5.1,3.1,3.7,3.13,4.17,3.92,Quality control issues
PO10070,SUP1064,Stellar Manufacturing,2025-09-27,2025-10-02,2025-09-29,Delivered,Standard order: concrete mixers,462.0,29659.37,13702628.94,0.18,2466473.21,16169102.15,INR,Yes,Net 60,Rail,Kavita Joshi,4.41,3.9,3.0,6.6,4.28,5.0,4.56,Good communication and service
PO10071,SUP1469,United Technologies,2025-09-03,2025-09-10,2025-09-18,Delivered,Purchase of tools,393.0,44873.22,17635175.46,0.18,3174331.58,20809507.04,INR,No,Net 45,Road Transport,Priya Sharma,4.32,2.3,2.6,2.0,2.14,3.77,3.41,Delivery delays affected production
PO10072,SUP1186,Metro Associates,2025-03-27,2025-04-03,,Cancelled,Order for polymers,163.0,39188.09,6387658.67,0.18,1149778.56,7537437.23,INR,,Net 15,Express Courier,Sneha Reddy,4.28,2.5,2.9,5.6,3.58,4.64,4.17,"Smooth transaction, good quality"
PO10073,SUP1114,Frontier Pvt Ltd,2025-01-17,2025-01-22,2025-01-19,Completed,plumbing fixtures for production,244.0,18428.0,4496432.0,0.18,809357.76,5305789.76,INR,Yes,Net 90,Express Courier,Nikhil Shah,2.91,2.4,4.3,4.9,4.15,4.2,3.75,Delivery delays affected production
PO10074,SUP1078,International Enterprises,2025-08-09,2025-08-21,2025-08-25,Delivered,Bulk order of synthetic fibers,398.0,10223.19,4068829.62,0.18,732389.33,4801218.95,INR,No,Net 30,Rail,Arjun Mehta,3.39,4.4,2.0,2.8,2.15,4.66,3.4,Quality issues noted on inspection
PO10075,SUP1326,Dynamic Associates,2025-02-22,2025-03-02,2025-03-06,Completed,Bulk order of nutraceuticals,171.0,14195.44,2427420.24,0.18,436935.64,2864355.88,INR,No,Net 30,Air Freight,Vikram Singh,4.18,4.4,1.5,1.8,3.0,4.85,4.01,"Smooth transaction, good quality"
PO10076,SUP1146,Strategic Supplies,2025-06-12,2025-07-01,,Cancelled,electrical fittings - industrial grade,204.0,45053.08,9190828.32,0.18,1654349.1,10845177.42,INR,,Net 45,Air Freight,Nikhil Shah,4.52,5.1,4.6,6.9,3.36,3.44,3.77,Delivery delays affected production
PO10077,SUP1023,Prime Corporation,2025-10-15,2025-10-23,2025-10-26,Delivered,Standard order: tablets,416.0,10728.91,4463226.56,0.18,803380.78,5266607.34,INR,No,Net 30,Sea Freight,Kavita Joshi,4.78,3.8,3.8,2.6,3.64,4.34,4.25,Dependable and quality-focused
PO10078,SUP1137,International Manufacturing,2025-04-07,2025-04-17,,Cancelled,Purchase of LED displays,25.0,13248.0,331200.0,0.18,59616.0,390816.0,INR,,Net 15,Air Freight,Rohan Das,3.96,2.5,3.3,4.4,3.37,3.22,3.52,Communication could be improved
PO10079,SUP1060,Frontier International,2024-12-19,2024-12-31,,Cancelled,Order for frozen foods,314.0,8896.47,2793491.58,0.18,502828.48,3296320.06,INR,,Net 90,Air Freight,Rahul Verma,3.69,4.3,3.8,3.0,3.35,4.53,3.86,Needs improvement in delivery time
PO10080,SUP1100,Elite Solutions,2025-03-17,2025-04-05,,Cancelled,hydraulic pumps for production,45.0,22937.8,1032201.0,0.18,185796.18,1217997.18,INR,,Net 45,Sea Freight,Amit Patel,3.07,1.9,1.2,4.9,4.31,4.72,4.03,Consistently meets expectations
PO10081,SUP1037,Elite Limited,2025-10-09,2025-10-19,,Pending,Purchase of beverages,220.0,49407.69,10869691.8,0.18,1956544.52,12826236.32,INR,,Net 45,Air Freight,Arjun Mehta,3.07,5.2,3.8,5.8,3.42,3.62,3.37,Delayed shipment
PO10082,SUP1284,Continental International,2025-04-09,2025-04-20,,Cancelled,Standard order: reagents,205.0,24187.95,4958529.75,0.18,892535.35,5851065.1,INR,,Due on Receipt,Air Freight,Nikhil Shah,3.76,2.8,1.1,6.3,3.9,3.14,3.6,Below expected quality standards
PO10083,SUP1284,Continental International,2025-09-19,2025-09-28,,Cancelled,Procurement of specialty chemicals,132.0,27279.14,3600846.48,0.18,648152.37,4248998.85,INR,,Net 90,Road Transport,Nikhil Shah,3.26,2.2,1.6,6.4,3.17,3.04,3.16,Product quality inconsistent
PO10084,SUP1389,Innovative Technologies,2025-02-28,2025-03-17,2025-03-15,Completed,herbal medicines - industrial grade,107.0,20246.72,2166399.04,0.18,389951.83,2556350.87,INR,Yes,Net 60,Air Freight,Vikram Singh,4.66,3.3,4.1,5.6,4.31,3.93,4.3,Reliable partner for our needs
PO10085,SUP1186,Metro Associates,2025-03-18,2025-03-29,2025-04-05,Delivered,Standard order: adhesives,486.0,45454.19,22090736.34,0.18,3976332.54,26067068.88,INR,No,Net 45,Express Courier,Sanjay Gupta,4.26,1.9,2.4,5.5,3.09,4.84,4.06,Dependable and quality-focused
PO10086,SUP1113,Quantum Limited,2025-10-06,2025-10-19,,Pending,Standard order: ointments,492.0,30870.17,15188123.64,0.18,2733862.26,17921985.9,INR,,Net 45,Road Transport,Kavita Joshi,4.04,4.0,3.5,2.8,4.09,3.83,3.99,Needs improvement in delivery time
PO10087,SUP1170,Prime Exports,2025-11-07,2025-11-26,2025-12-01,Delivered,Standard order: polyester yarn,22.0,34489.58,758770.76,0.18,136578.74,895349.5,INR,No,Net 90,Sea Freight,Kavita Joshi,4.52,2.0,1.0,2.2,2.64,3.85,3.67,Delivery delays affected production
PO10088,SUP1072,Dynamic Company,2025-01-28,2025-02-06,,Pending,Supply of laptops,229.0,23001.75,5267400.75,0.18,948132.14,6215532.89,INR,,Net 90,Express Courier,Rahul Verma,3.45,4.5,3.5,5.8,3.58,4.19,3.74,Some quality concerns
PO10089,SUP1351,Orion Associates,2025-10-12,2025-10-19,2025-10-25,Delivered,processed foods - industrial grade,393.0,21420.08,8418091.44,0.18,1515256.46,9933347.9,INR,No,Net 30,Air Freight,Anita Desai,3.91,4.6,3.4,4.3,2.43,4.02,3.45,Delivery delays affected production
PO10090,SUP1320,Precision Group,2025-09-02,2025-09-09,2025-09-15,Completed,Order for packaged snacks,343.0,4201.83,1441227.69,0.18,259420.98,1700648.67,INR,No,Net 60,Rail,Sneha Reddy,4.45,4.1,1.6,7.2,2.02,4.04,3.5,Quality issues noted on inspection
PO10091,SUP1019,Pinnacle Group,2025-01-25,2025-02-08,2025-02-13,Completed,polyester yarn for production,324.0,38447.34,12456938.16,0.18,2242248.87,14699187.03,INR,No,Net 45,Express Courier,Kavita Joshi,4.05,3.3,1.7,4.0,3.88,3.51,3.81,Some quality concerns
PO10092,SUP1467,Beta Limited,2025-09-21,2025-09-27,,Pending,Order for insulation materials,458.0,23748.34,10876739.72,0.18,1957813.15,12834552.87,INR,,Net 90,Sea Freight,Kavita Joshi,4.31,4.7,3.1,6.5,3.21,3.01,3.51,Communication could be improved
PO10093,SUP1457,Nexus International,2025-02-19,2025-02-27,2025-02-28,Completed,Standard order: fertilizers,466.0,15196.97,7081788.02,0.18,1274721.84,8356509.86,INR,No,Net 90,Air Freight,Pooja Kapoor,3.26,2.5,2.6,2.7,3.37,4.05,3.56,Delayed shipment
